Place of interest,Type of place,address,embajada_latitude,embajadas_longitude
Consulado de Argentina,Consulado,CALLE FERNANDO EL SANTO 15 PLANTA BAJA,40.42821624776458,-3.6926659313220473
Consulado de Belice,Consulado,CALLE TALAVERA 9,40.453375787625184,-3.6809775442454438
Consulado de Bolivia,Consulado,CALLE AVIADOR LINDBERGH 3,40.44244658703542,-3.6796645119265317
Consulado de Brasil,Consulado,CALLE GOYA 5 y 7 pasaje,40.42571641206772,-3.688867957275151
Consulado de Bélgica,Consulado,PASEO CASTELLANA 18 PLANTA 6 Izquierda,40.428625519984514,-3.6890037404933405
Consulado de Chile,Consulado,CALLE RAFAEL CALVO 18 PLANTA 5,40.43387373574068,-3.6941977264344406
Consulado de Colombia,Consulado,CALLE ALFONSO XI 6,40.418660732315,-3.690646590927509
Consulado de Costa Rica,Consulado,CALLE RIOS ROSAS 54 PLANTA Bajo Derecha,40.441550649362455,-3.695491196074582
Consulado de Cuba,Consulado,PASEO LA HABANA 194 Entrada por calle Macarena,40.46201039787292,-3.680298066003204
Consulado de Ecuador,Consulado,CALLE ALENZA 1,40.44258652423883,-3.7007870509139242
Consulado de El Salvador,Consulado,CALLE GENERAL ORAA 9 PLANTA 5 Interior Izquierda,40.43642084178578,-3.687067152583129
Consulado de Etiopía,Consulado,CALLE VELAZQUEZ 3 PLANTA 4,40.42148926032306,-3.6846401694200934
Consulado de Francia,Consulado,CALLE MARQUES DE LA ENSENADA 10 C,40.424488220772155,-3.692380132628246
Consulado de Gambia,Consulado,CALLE ALFONSO XII 46,40.4126161626266,-3.6890525764985806
Consulado de Islandia,Consulado,CALLE POLLENSA 2 PLANTA 2 Oficina 17,,
Consulado de Jamaica,Consulado,CALLE JUAN DE MENA 6 PLANTA Bajo A,40.4172349956707,-3.691032771246455
Consulado de Macedonia del Norte,Consulado,CALLE CAPITAN HAYA 60 PLANTA 6,40.46310214118726,-3.691439378838705
Consulado de Mali,Consulado,CALLE ZURBANO 29 PLANTA 2 Izquierda,40.4313099318025,-3.693570096673511
Consulado de Marruecos,Consulado,CALLE LEIZARAN 31,40.44778292174744,-3.6806852423855867
Consulado de Mónaco,Consulado,AVENIDA MADRO&amp;Ntilde;OS 21 PLANTA 4 B,40.454801307058105,-3.6459264433419185
Consulado de Nicaragua,Consulado,CALLE PUERTO DE SANTA MARIA 73 B,40.45931841429917,-3.6524238447949635
Consulado de Panamá,Consulado,CALLE CARACAS 23 PLANTA BAJO,40.43073323148883,-3.6939542885166206
Consulado de Paraguay,Consulado,AVENIDA ALBERTO ALCOCER 45 PLANTA 1,40.4588444878455,-3.679405144214614
Consulado de Perú,Consulado,PASEO PINTOR ROSALES 30,40.42711354506284,-3.719659854297127
Consulado de Reino Unido de Gran Bretaña e Irlanda del Norte,Consulado,PASEO CASTELLANA 259 D Torre Espacio,40.47592404926307,-3.6872691224974417
Consulado de República Centroafricana,Consulado,CALLE SANTA ELVIRA 25,40.45626059848089,-3.7936614755018385
Consulado de República Dominicana,Consulado,PASEO CASTELLANA 128 PLANTA 1,40.449933495141345,-3.6902354909034027
Consulado de Rumanía,Consulado,AVENIDA ALBUFERA 319 PLANTA 15,40.38432808144638,-3.633019867127129
Consulado de San Marino,Consulado,PASEO CASTELLANA 13 PLANTA 3,40.42793321049834,-3.690281666974233
Consulado de Senegal,Consulado,CALLE PALERMO 13,40.459169743269854,-3.6510665185268176
