Place of interest,Type of place,Place address,BiciMAD station,Station location
Consulado de Argentina,Consulado,CALLE FERNANDO EL SANTO 15 PLANTA BAJA,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5
Embajada de Argentina,Embajada ,CALLE FERNANDO EL SANTO 15 PLANTA 1,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5
Embajada de Brasil,Embajada ,CALLE FERNANDO EL SANTO 6,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5
Consulado de Belice,Consulado,CALLE TALAVERA 9,148 - Serrano 210,Calle Serrano nº 210
Embajada de Kenia,Embajada ,CALLE SEGRE 13,148 - Serrano 210,Calle Serrano nº 210
Embajada de Lituania,Embajada ,CALLE PISUERGA 5,148 - Serrano 210,Calle Serrano nº 210
Embajada de Marruecos,Embajada ,CALLE SERRANO 179,148 - Serrano 210,Calle Serrano nº 210
Embajada de Nigeria,Embajada ,CALLE SEGRE 23,148 - Serrano 210,Calle Serrano nº 210
Consulado de Bolivia,Consulado,CALLE AVIADOR LINDBERGH 3,146 - María Francisca 1,Calle María Francisca nº 1
Embajada de San Marino,Embajada ,CALLE PADRE JESUS ORDO&amp;Ntilde;EZ 18 PLANTA 3 IZQUIERDA,146 - María Francisca 1,Calle María Francisca nº 1
Consulado de Brasil,Consulado,CALLE GOYA 5 y 7 pasaje,93 - Plaza de Colón,Calle Goya nº 1
Consulado de Bélgica,Consulado,PASEO CASTELLANA 18 PLANTA 6 Izquierda,104 - Castellana,Paseo de la Castellana nº 4
Consulado de San Marino,Consulado,PASEO CASTELLANA 13 PLANTA 3,104 - Castellana,Paseo de la Castellana nº 4
Embajada de Bélgica,Embajada ,PASEO CASTELLANA 18 PLANTA 6,104 - Castellana,Paseo de la Castellana nº 4
Embajada de Finlandia,Embajada ,PASEO CASTELLANA 15 PLANTA 4,104 - Castellana,Paseo de la Castellana nº 4
Embajada de Haití,Embajada ,PASEO CASTELLANA 15 PLANTA 3 B,104 - Castellana,Paseo de la Castellana nº 4
Embajada de Hungría,Embajada ,CALLE FORTUNY 6 PLANTA 4,104 - Castellana,Paseo de la Castellana nº 4
Embajada de Qatar,Embajada ,PASEO CASTELLANA 15 PLANTA 5,104 - Castellana,Paseo de la Castellana nº 4
Consulado de Chile,Consulado,CALLE RAFAEL CALVO 18 PLANTA 5,125 - General Martínez Campos,Calle Fernández de la Hoz nº 29
Embajada de Perú,Embajada ,CALLE ZURBANO 70 PLANTA BAJA,125 - General Martínez Campos,Calle Fernández de la Hoz nº 29
Embajada de Turquía,Embajada ,CALLE RAFAEL CALVO 18 PLANTA 2 A/B,125 - General Martínez Campos,Calle Fernández de la Hoz nº 29
Consulado de Colombia,Consulado,CALLE ALFONSO XI 6,65 - Antonio Maura,Calle Antonio Maura nº 15
Consulado de Jamaica,Consulado,CALLE JUAN DE MENA 6 PLANTA Bajo A,65 - Antonio Maura,Calle Antonio Maura nº 15
Embajada de Antigua y Barbuda,Embajada ,CALLE FELIPE IV 7 PLANTA 4 B,65 - Antonio Maura,Calle Antonio Maura nº 15
Embajada de Uzbekistan,Embajada ,PLAZA LEALTAD 3 PLANTA ENTREPLANTA DERECHA,65 - Antonio Maura,Calle Antonio Maura nº 15
Consulado de Costa Rica,Consulado,CALLE RIOS ROSAS 54 PLANTA Bajo Derecha,134 - Agustín de Betancourt,Calle María de Guzmán nº 58
Embajada de Costa Rica,Embajada ,CALLE RIOS ROSAS 54 PLANTA BAJA DERECHA,134 - Agustín de Betancourt,Calle María de Guzmán nº 58
Consulado de Cuba,Consulado,PASEO LA HABANA 194 Entrada por calle Macarena,254 - Pío XII,Avenida Pío XII nº 3
Consulado de Paraguay,Consulado,AVENIDA ALBERTO ALCOCER 45 PLANTA 1,254 - Pío XII,Avenida Pío XII nº 3
Embajada de Arabia Saudí,Embajada ,CALLE DOCTOR ALVAREZ SIERRA 3,254 - Pío XII,Avenida Pío XII nº 3
Embajada de Bulgaria,Embajada ,TRAVESIA SANTA MARIA MAGDALENA 15,254 - Pío XII,Avenida Pío XII nº 3
Embajada de Cuba,Embajada ,PASEO LA HABANA 194,254 - Pío XII,Avenida Pío XII nº 3
Embajada de Guinea Ecuatorial,Embajada ,AVENIDA PIO XII 14,254 - Pío XII,Avenida Pío XII nº 3
Embajada de India,Embajada ,AVENIDA PIO XII 30 y 32,254 - Pío XII,Avenida Pío XII nº 3
Embajada de Iran,Embajada ,CALLE JEREZ 5 Villa El Altozano,254 - Pío XII,Avenida Pío XII nº 3
Embajada de Libia,Embajada ,AVENIDA COMANDANTE FRANCO 32,254 - Pío XII,Avenida Pío XII nº 3
Embajada de Palestina,Embajada ,AVENIDA PIO XII 20,254 - Pío XII,Avenida Pío XII nº 3
Embajada de República Checa,Embajada ,AVENIDA COMANDANTE FRANCO 34,254 - Pío XII,Avenida Pío XII nº 3
Embajada de Rumanía,Embajada ,AVENIDA ALFONSO XIII 157,254 - Pío XII,Avenida Pío XII nº 3
Embajada de Santa Sede,Embajada ,AVENIDA PIO XII 46,254 - Pío XII,Avenida Pío XII nº 3
Embajada de la República de Corea,Embajada ,CALLE GONZALEZ AMIGO 15,254 - Pío XII,Avenida Pío XII nº 3
Consulado de Ecuador,Consulado,CALLE ALENZA 1,130 - Santa Engracia 127,Calle Santa Engracia nº 127
Consulado de El Salvador,Consulado,CALLE GENERAL ORAA 9 PLANTA 5 Interior Izquierda,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43
Embajada de Chipre,Embajada ,PASEO CASTELLANA 45 4-5,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43
Embajada de Colombia,Embajada ,PASEO GENERAL MARTINEZ CAMPOS 48,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43
Embajada de Eslovenia,Embajada ,CALLE HERMANOS BECQUER 7 PLANTA 2,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43
Embajada de Malta,Embajada ,PASEO CASTELLANA 45 PLANTA 6 DERECHA,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43
Embajada de Nueva Zelanda,Embajada ,CALLE PINAR 7 PLANTA 3,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43
Embajada del Nepal,Embajada ,CALLE GENERAL ORAA 3 PLANTA bajo izquierda,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43
Consulado de Etiopía,Consulado,CALLE VELAZQUEZ 3 PLANTA 4,102 - Velázquez,Calle Alcalá nº 95
Embajada de Montenegro,Embajada ,CALLE ALCALA 89 PLANTA Bajo izquierda,102 - Velázquez,Calle Alcalá nº 95
Embajada de Serbia,Embajada ,CALLE VELAZQUEZ 3,102 - Velázquez,Calle Alcalá nº 95
Consulado de Francia,Consulado,CALLE MARQUES DE LA ENSENADA 10 C,10 - Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Consulado de Gambia,Consulado,CALLE ALFONSO XII 46,68 - Espalter,Calle Espalter nº 1
Embajada de Letonia,Embajada ,CALLE MORETO 5 PLANTA 1 DERECHA,68 - Espalter,Calle Espalter nº 1
Consulado de Islandia,Consulado,CALLE POLLENSA 2 PLANTA 2 Oficina 17,1a - Puerta del Sol A,Puerta del Sol nº 1
Consulado de Macedonia del Norte,Consulado,CALLE CAPITAN HAYA 60 PLANTA 6,209 - Plaza de Castilla 2,Paseo Castellana (Fundación Canal)
Consulado de Mali,Consulado,CALLE ZURBANO 29 PLANTA 2 Izquierda,198 - Rubén Darío,Glorieta Rubén Darío 2
Embajada de Alemania,Embajada ,CALLE FORTUNY 8,198 - Rubén Darío,Glorieta Rubén Darío 2
Embajada de Jordania,Embajada ,PASEO GENERAL MARTINEZ CAMPOS 41 PLANTA 5,198 - Rubén Darío,Glorieta Rubén Darío 2
Embajada de Suecia,Embajada ,CALLE CARACAS 25,198 - Rubén Darío,Glorieta Rubén Darío 2
Consulado de Marruecos,Consulado,CALLE LEIZARAN 31,147 - Doctor Arce 45,Avenida del Doctor Arce nº 45
Embajada de Grecia,Embajada ,AVENIDA DOCTOR ARCE 24,147 - Doctor Arce 45,Avenida del Doctor Arce nº 45
Consulado de Mónaco,Consulado,AVENIDA MADRO&amp;Ntilde;OS 21 PLANTA 4 B,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Consulado de Nicaragua,Consulado,CALLE PUERTO DE SANTA MARIA 73 B,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Consulado de Senegal,Consulado,CALLE PALERMO 13,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Embajada de China,Embajada ,CALLE ARTURO SORIA 111 y 113,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
